DeclaredCounty/Area,State,DistinctDisasterNumbers,Latitude (generated),Longitude (generated)
Jackson,South Dakota,1,43.6926,-101.6317
Hyde,South Dakota,1,44.538,-99.4821
Hutchinson,South Dakota,1,43.3148,-97.7556
Hughes,South Dakota,1,44.3239,-99.9126
Hanson,South Dakota,1,43.676,-97.7865
Hand,South Dakota,1,44.538,-99.0009
Hamlin,South Dakota,1,44.6668,-97.1884
Haakon,South Dakota,1,44.365,-101.5781
Gregory,South Dakota,1,43.2494,-99.2429
Grant,South Dakota,1,45.1518,-96.7912
Faulk,South Dakota,1,45.0748,-99.1452
Edmunds,South Dakota,1,45.3854,-99.2152
Douglas,South Dakota,1,43.3497,-98.3573
Dewey,South Dakota,1,45.1005,-100.9055
Deuel,South Dakota,1,44.7615,-96.668
Day,South Dakota,1,45.3724,-97.6037
Davison,South Dakota,1,43.6763,-98.1462
Corson,South Dakota,1,45.7135,-101.1566
Codington,South Dakota,1,44.9775,-97.1883
Clay,South Dakota,1,42.888,-96.9833
Clark,South Dakota,1,44.8426,-97.7342
Charles Mix,South Dakota,1,43.1697,-98.475
Campbell,South Dakota,1,45.7701,-100.034
Buffalo,South Dakota,1,44.0651,-99.2264
Brule,South Dakota,1,43.7182,-99.101
Brown,South Dakota,1,45.5899,-98.3509
Brookings,South Dakota,1,44.3681,-96.7905
Bon Homme,South Dakota,1,42.9662,-97.8652
Bennett,South Dakota,1,43.1945,-101.6686
Beadle,South Dakota,1,44.4159,-98.2773
Aurora,South Dakota,1,43.7246,-98.5603
York,South Carolina,1,34.9926,-81.1884
Union,South Carolina,1,34.6789,-81.6396
Sumter,South Carolina,1,33.9067,-80.3414
Spartanburg,South Carolina,1,34.8864,-81.9815
Saluda,South Carolina,1,34.0012,-81.7467
Richland,South Carolina,1,34.0064,-80.8509
Pickens,South Carolina,1,34.8536,-82.6924
Orangeburg,South Carolina,1,33.4424,-80.8092
Oconee,South Carolina,1,34.7647,-83.1063
Newberry,South Carolina,1,34.3026,-81.6234
McCormick,South Carolina,1,33.8361,-82.2353
Lexington,South Carolina,1,33.9239,-81.2837
Laurens,South Carolina,1,34.4974,-81.982
Lancaster,South Carolina,1,34.7677,-80.695
Kershaw,South Carolina,1,34.3432,-80.5564
Jasper,South Carolina,1,32.3944,-81.0109
Hampton,South Carolina,1,32.789,-81.1028
Greenwood,South Carolina,1,34.1825,-82.0799
Greenville,South Carolina,1,34.8506,-82.3557
Edgefield,South Carolina,1,33.7548,-81.9474
Chester,South Carolina,1,34.682,-81.1658
Cherokee,South Carolina,1,35.0121,-81.6338
Charleston,South Carolina,1,32.7585,-80.1952
Calhoun,South Carolina,1,33.6735,-80.7857
Beaufort,South Carolina,1,32.4803,-80.6733
Barnwell,South Carolina,1,33.2872,-81.4301
Bamberg,South Carolina,1,33.2334,-81.0342
Anderson,South Carolina,1,34.5146,-82.6588
Allendale,South Carolina,1,32.9515,-81.3641
Aiken,South Carolina,1,33.5377,-81.6614
Abbeville,South Carolina,1,34.2476,-82.474
Wayne,Pennsylvania,1,41.6172,-75.2609
Schuylkill,Pennsylvania,1,40.7235,-76.1529
Pike,Pennsylvania,1,41.3416,-75.0513
Philadelphia,Pennsylvania,1,40.0048,-75.1385
Northampton,Pennsylvania,1,40.7524,-75.3992
Montgomery,Pennsylvania,1,40.2123,-75.3632
Monroe,Pennsylvania,1,41.033,-75.292
Lehigh,Pennsylvania,1,40.6036,-75.584
Delaware,Pennsylvania,1,39.9362,-75.3767
Chester,Pennsylvania,1,39.9818,-75.7096
Carbon,Pennsylvania,1,40.9346,-75.7493
Bucks,Pennsylvania,1,40.3311,-75.1338
Berks,Pennsylvania,1,40.4065,-75.9294
Wheeler,Oregon,1,44.6956,-120.0197
Wasco,Oregon,1,45.2651,-121.2515
Wallowa,Oregon,1,45.5415,-117.127
Union,Oregon,1,45.401,-118.046
Umatilla,Oregon,1,45.5072,-118.6314
Sherman,Oregon,1,45.4107,-120.6856
Morrow,Oregon,1,45.4638,-119.5752
Malheur,Oregon,1,43.2329,-117.6274
Lake,Oregon,1,42.8178,-120.6468
Klamath,Oregon,1,42.8067,-121.8166
Josephine,Oregon,1,42.3912,-123.6336
Jefferson,Oregon,1,44.6083,-121.0936
