DeclaredCounty/Area	State	Incident Type	Area Type	Title	Disaster Number (copy)	DistinctDisasterNumbers	Number of Records
Hart	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Jackson	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Johnson	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Knott	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Knox	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Larue	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Lawrence	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Lee	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Leslie	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Letcher	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Lewis	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Magoffin	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Marshall	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Martin	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Mason	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Menifee	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Metcalfe	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Morgan	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Nicholas	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Ohio	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Owen	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Owsley	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Perry	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Pike	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Powell	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Robertson	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Rockcastle	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Rowan	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Spencer	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Trigg	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Washington	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Webster	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Whitley	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Woodford	Kentucky	Flood	County	"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"	4218	1	1
Braxton	West Virginia	Flood	County	"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"	4220	1	1
Brooke	West Virginia	Flood	County	"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"	4220	1	1
Doddridge	West Virginia	Flood	County	"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"	4220	1	1
Gilmer	West Virginia	Flood	County	"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"	4220	1	1
Jackson	West Virginia	Flood	County	"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"	4220	1	1
Lewis	West Virginia	Flood	County	"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"	4220	1	1
Marshall	West Virginia	Flood	County	"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"	4220	1	1
Ohio	West Virginia	Flood	County	"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"	4220	1	1
Pleasants	West Virginia	Flood	County	"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"	4220	1	1
Ritchie	West Virginia	Flood	County	"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"	4220	1	1
Tyler	West Virginia	Flood	County	"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"	4220	1	1
Wetzel	West Virginia	Flood	County	"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"	4220	1	1
Cabell	West Virginia	Flood	County	"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"	4221	1	1
Calhoun	West Virginia	Flood	County	"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"	4221	1	1
Greenbrier	West Virginia	Flood	County	"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"	4221	1	1
Jackson	West Virginia	Flood	County	"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"	4221	1	1
Pleasants	West Virginia	Flood	County	"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"	4221	1	1
Roane	West Virginia	Flood	County	"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"	4221	1	1
Summers	West Virginia	Flood	County	"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"	4221	1	1
Wirt	West Virginia	Flood	County	"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"	4221	1	1
Bath	Kentucky	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4217	1	1
Bourbon	Kentucky	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4217	1	1
Breathitt	Kentucky	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4217	1	1
Bullitt	Kentucky	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4217	1	1
Carter	Kentucky	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4217	1	1
Clark	Kentucky	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4217	1	1
Elliott	Kentucky	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4217	1	1
Estill	Kentucky	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4217	1	1
Floyd	Kentucky	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4217	1	1
Franklin	Kentucky	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4217	1	1
Jefferson	Kentucky	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4217	1	1
Johnson	Kentucky	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4217	1	1
Lawrence	Kentucky	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4217	1	1
Lee	Kentucky	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4217	1	1
Lewis	Kentucky	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4217	1	1
Lincoln	Kentucky	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4217	1	1
Madison	Kentucky	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4217	1	1
Magoffin	Kentucky	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4217	1	1
Metcalfe	Kentucky	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4217	1	1
Morgan	Kentucky	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4217	1	1
Nicholas	Kentucky	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4217	1	1
Owen	Kentucky	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4217	1	1
Owsley	Kentucky	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4217	1	1
Pike	Kentucky	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4217	1	1
Rowan	Kentucky	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4217	1	1
Scott	Kentucky	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4217	1	1
Spencer	Kentucky	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4217	1	1
Whitley	Kentucky	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4217	1	1
Wolfe	Kentucky	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4217	1	1
Albany	Wyoming	Flood	County	SEVERE STORMS AND FLOODING	4227	1	1
Johnson	Wyoming	Flood	County	SEVERE STORMS AND FLOODING	4227	1	1
Niobrara	Wyoming	Flood	County	SEVERE STORMS AND FLOODING	4227	1	1
Platte	Wyoming	Flood	County	SEVERE STORMS AND FLOODING	4227	1	1
Adams	Colorado	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4229	1	1
Baca	Colorado	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4229	1	1
Boulder	Colorado	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4229	1	1
Denver	Colorado	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4229	1	1
Elbert	Colorado	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4229	1	1
El Paso	Colorado	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4229	1	1
Fremont	Colorado	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4229	1	1
Logan	Colorado	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4229	1	1
Morgan	Colorado	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4229	1	1
Park	Colorado	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4229	1	1
Pueblo	Colorado	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4229	1	1
Saguache	Colorado	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4229	1	1
Sedgwick	Colorado	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4229	1	1
Washington	Colorado	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4229	1	1
Yuma	Colorado	Flood	County	"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"	4229	1	1
Bossier	Louisiana	Flood	Parish	SEVERE STORMS AND FLOODING	4228	1	1
Caddo	Louisiana	Flood	Parish	SEVERE STORMS AND FLOODING	4228	1	1
Grant	Louisiana	Flood	Parish	SEVERE STORMS AND FLOODING	4228	1	1
Natchitoches	Louisiana	Flood	Parish	SEVERE STORMS AND FLOODING	4228	1	1
Rapides	Louisiana	Flood	Parish	SEVERE STORMS AND FLOODING	4228	1	1
Red River	Louisiana	Flood	Parish	SEVERE STORMS AND FLOODING	4228	1	1
West Feliciana	Louisiana	Flood	Parish	SEVERE STORMS AND FLOODING	4228	1	1
Abbeville	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Aiken	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Allendale	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Anderson	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Bamberg	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Beaufort	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Berkeley	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Calhoun	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Charleston	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Chesterfield	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Clarendon	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Colleton	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Darlington	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Dillon	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Dorchester	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Fairfield	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Florence	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Georgetown	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Greenville	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Greenwood	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Horry	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Kershaw	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Lancaster	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Laurens	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Lee	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Lexington	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
McCormick	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Marion	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Marlboro	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Newberry	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Orangeburg	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Richland	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Saluda	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Spartanburg	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Sumter	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Williamsburg	South Carolina	Flood	County	SEVERE STORMS AND FLOODING	4241	1	1
Clallam	Washington	Flood	County	"SEVERE WINTER STORM, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, AND A T"	4253	1	1
Clark	Washington	Flood	County	"SEVERE WINTER STORM, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, AND A T"	4253	1	1
Cowlitz	Washington	Flood	County	"SEVERE WINTER STORM, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, AND A T"	4253	1	1
Grays Harbor	Washington	Flood	County	"SEVERE WINTER STORM, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, AND A T"	4253	1	1
Jefferson	Washington	Flood	County	"SEVERE WINTER STORM, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, AND A T"	4253	1	1
Lewis	Washington	Flood	County	"SEVERE WINTER STORM, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, AND A T"	4253	1	1
Mason	Washington	Flood	County	"SEVERE WINTER STORM, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, AND A T"	4253	1	1
Pacific	Washington	Flood	County	"SEVERE WINTER STORM, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, AND A T"	4253	1	1
Skamania	Washington	Flood	County	"SEVERE WINTER STORM, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, AND A T"	4253	1	1
Wahkiakum	Washington	Flood	County	"SEVERE WINTER STORM, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, AND A T"	4253	1	1
St. Louis	Missouri	Flood		"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Barry	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Barton	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Bollinger	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Camden	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Cape Girardeau	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Cedar	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Cole	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Crawford	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Dade	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Dallas	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Douglas	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Dunklin	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Franklin	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Gasconade	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Greene	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Hickory	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Howell	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Iron	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Jasper	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Jefferson	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Laclede	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Lawrence	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Lincoln	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
McDonald	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Maries	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Mississippi	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Morgan	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
New Madrid	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Newton	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Osage	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Ozark	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Pemiscot	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Perry	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Phelps	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Polk	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Pulaski	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Reynolds	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
St. Charles	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
St. Clair	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Ste. Genevieve	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
St. Francois	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
St. Louis	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Scott	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Shannon	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Stoddard	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Stone	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Taney	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Texas	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Washington	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Webster	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Wright	Missouri	Flood	County	"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"	4250	1	1
Angelina	Texas	Flood	County	"SEVERE STORMS, TORNADOES, AND FLOODING"	4266	1	1
Cass	Texas	Flood	County	"SEVERE STORMS, TORNADOES, AND FLOODING"	4266	1	1
Erath	Texas	Flood	County	"SEVERE STORMS, TORNADOES, AND FLOODING"	4266	1	1
Gregg	Texas	Flood	County	"SEVERE STORMS, TORNADOES, AND FLOODING"	4266	1	1
Harrison	Texas	Flood	County	"SEVERE STORMS, TORNADOES, AND FLOODING"	4266	1	1
Henderson	Texas	Flood	County	"SEVERE STORMS, TORNADOES, AND FLOODING"	4266	1	1
Hood	Texas	Flood	County	"SEVERE STORMS, TORNADOES, AND FLOODING"	4266	1	1
Jasper	Texas	Flood	County	"SEVERE STORMS, TORNADOES, AND FLOODING"	4266	1	1
Lamar	Texas	Flood	County	"SEVERE STORMS, TORNADOES, AND FLOODING"	4266	1	1
Limestone	Texas	Flood	County	"SEVERE STORMS, TORNADOES, AND FLOODING"	4266	1	1
Madison	Texas	Flood	County	"SEVERE STORMS, TORNADOES, AND FLOODING"	4266	1	1
Marion	Texas	Flood	County	"SEVERE STORMS, TORNADOES, AND FLOODING"	4266	1	1
Newton	Texas	Flood	County	"SEVERE STORMS, TORNADOES, AND FLOODING"	4266	1	1
Orange	Texas	Flood	County	"SEVERE STORMS, TORNADOES, AND FLOODING"	4266	1	1
Parker	Texas	Flood	County	"SEVERE STORMS, TORNADOES, AND FLOODING"	4266	1	1
Red River	Texas	Flood	County	"SEVERE STORMS, TORNADOES, AND FLOODING"	4266	1	1
Sabine	Texas	Flood	County	"SEVERE STORMS, TORNADOES, AND FLOODING"	4266	1	1
San Augustine	Texas	Flood	County	"SEVERE STORMS, TORNADOES, AND FLOODING"	4266	1	1
Shelby	Texas	Flood	County	"SEVERE STORMS, TORNADOES, AND FLOODING"	4266	1	1
