DeclaredCounty/Area,State,DistinctDisasterNumbers,Latitude (generated),Longitude (generated)
Jim Hogg,Texas,4,27.0717,-98.7105
Jefferson,Texas,3,29.8764,-94.1418
Jeff Davis,Texas,9,30.761,-104.158
Jasper,Texas,6,30.7013,-93.9986
Jackson,Texas,2,28.9696,-96.562
Jack,Texas,6,33.2355,-98.1705
Irion,Texas,4,31.3054,-100.9812
Hutchinson,Texas,5,35.8101,-101.3545
Hunt,Texas,5,33.1232,-96.0795
Hudspeth,Texas,3,31.3165,-105.4233
Howard,Texas,9,32.2992,-101.4356
Houston,Texas,6,31.26,-95.4349
Hopkins,Texas,4,33.1751,-95.5852
Hood,Texas,3,32.3932,-97.8161
Hockley,Texas,4,33.6124,-102.3431
Hill,Texas,5,31.9888,-97.1227
Hidalgo,Texas,2,26.3986,-98.1887
Henderson,Texas,4,32.1827,-95.8182
Hemphill,Texas,4,35.8244,-100.2707
Hays,Texas,7,30.065,-98.0268
Haskell,Texas,4,33.1786,-99.7307
Hartley,Texas,4,35.852,-102.602
Harrison,Texas,6,32.5634,-94.3724
Harris,Texas,3,29.8346,-95.389
Hardin,Texas,6,30.3124,-94.3867
Hardeman,Texas,5,34.315,-99.7365
Hansford,Texas,4,36.2744,-101.3546
Hamilton,Texas,4,31.7167,-98.0987
Hall,Texas,5,34.534,-100.6806
Hale,Texas,3,34.068,-101.8263
Guadalupe,Texas,3,29.6123,-97.9639
Grimes,Texas,6,30.5451,-95.9916
Gregg,Texas,4,32.509,-94.8444
Grayson,Texas,4,33.6831,-96.662
Gray,Texas,3,35.3987,-100.8124
Gonzales,Texas,4,29.4484,-97.5027
Goliad,Texas,1,28.6571,-97.4682
Glasscock,Texas,4,31.8477,-101.5209
Gillespie,Texas,3,30.3291,-98.9457
Garza,Texas,4,33.1798,-101.298
Galveston,Texas,3,29.3824,-95.0331
Gaines,Texas,3,32.7355,-102.6352
Frio,Texas,3,28.8624,-99.1075
Freestone,Texas,3,31.7139,-96.1581
Franklin,Texas,5,33.179,-95.2164
Fort Bend,Texas,3,29.5257,-95.746
Foard,Texas,5,33.9777,-99.7617
Floyd,Texas,3,34.069,-101.303
Fisher,Texas,5,32.7425,-100.4024
Fayette,Texas,6,29.8921,-96.9151
Fannin,Texas,3,33.6132,-96.1193
Falls,Texas,3,31.2537,-96.9393
Erath,Texas,4,32.214,-98.2274
Ellis,Texas,6,32.3014,-96.7619
El Paso,Texas,3,31.6952,-106.1718
Edwards,Texas,4,29.9663,-100.3478
Ector,Texas,6,31.8599,-102.5429
Eastland,Texas,7,32.2936,-98.8015
Duval,Texas,3,27.6613,-98.5174
Donley,Texas,4,34.9669,-100.8141
Dimmit,Texas,3,28.4132,-99.7548
Dickens,Texas,4,33.6166,-100.7789
DeWitt,Texas,2,29.0996,-97.3051
Denton,Texas,5,33.2078,-97.1156
